jin-cha-63 , 那你加油。。。。人们总是幻想一些无人做到的事来证明自己的与众不同与伟大。。。。不过希望你在经历了这一切之后仍然保持对数学的热爱
bie-hua-28-26 , 证明出哥德巴赫猜想的人的微博找到了，@带带大师兄，大家快去围观啊
xiu-wu-xing-guo , 同学你好，我想用一张图来回答你的问题。有梦想是好的，但是必须从实际出发，首先让我们看看数学的深渊我们究竟探索多少吧。不过我还是很期待你的证明，也许的确可以为哥德巴赫猜想的证明带来新思路。做为你的同龄人，我想对你说：初生牛犊不怕虎，加油吧。但也请同学你铭记，在仰望星空的同时也不要忘了脚踏实地。更新刚刚看了题主的言论，就过来更新一下。。。之前还不知道题主说要一月一号直播证明过程，我想很多知友都看过《三体》吧，我觉得其中有一句话说的很好：弱小和无知，不是生存的障碍，傲慢才是。我想这句话用在这里比较合适。数学的研究和证明，决不能骄傲自满，更对不是以制造噱头为目的的，而是真真正正热爱并投入其中。在我看来，要做好研究，首先就要耐得住寂寞，要对自己的研究成果反复进行验证计算，确保万无一失以后，才能拿出来在公众场合发表。反观题主，在回答一些答主的答案时，并没有对这些答主给出的问题进行正面的回答，而是说：“我的证明过程比他简单。”请问这样的回答怎能有说服力呢？未免有些傲慢和轻浮。广大知友也不知道题主证明过程的正确性，题主却说要直播发表论文，这就难免有些傲慢和制造噱头的氛围在其中了。题主究竟是怎么证明的，令我有些怀疑。其次，题主带有过高的功利性对待哥德巴赫猜想的证明。题主做这项研究的目的就是为了上清华北大，我只能说题主的功利心有点过强了。请题主看看现在的许多诺奖得主和世界上有名的大数学家，哪一个不是忍受住了寂寞，抵御了外界的许多诱惑，潜心研究多年得出了宝贵研究成果?我想反问一下题主：“如果我明确告诉你上不了清华北大，那么你还会认真研究哥德巴赫猜想的证明过程吗?”还是请提主为了研究而研究，少一点功利性吧。真正要做出成果的话，还是请题主埋头苦干吧。毕竟有一句老话说得好“闷声发大财”真正研究出成果的科学家，绝不是像题主这样在知乎上公开发表这样的言论的，他们只会日复一日、年复一年的以严谨的态度进行着研究和计算，在确保无差错以后再将自己的成果公之于众。所以我建议提主要学习一下他们这样的精神和态度，才能在数学研究方面有长足发展。最后，还是想告诉题主一句话：冰冻三尺，非一日之寒；铁杵成针，非一日之功；滴水穿石，非一日之力。希望题主能以严谨和不浮于表面的态度来对待自己的学习和研究，多学习，多积累，多听取其他知友的有益建议。12.29 更新先感谢一下各位知友的赞啦！首先想说一下关于这张名为“数学的深渊”图片的问题：图片是从网络上找的一张图片，大部分还是属于娱乐的性质的。细究此图，其中对数学这门学科所包含的内容和不同科目之间难度的理解与划分肯定是存在许多不妥之处的。而我在回答里用这张图的目的，是为了告诉题主在数学的学习中要探索的东西还是很多，罗马不是一日建成的，我们许多人也不可能像武侠小说里的天才一样，在一瞬间打通自己的“任督二脉”成为绝世高手的。更多的我想应该是通过我们对知识的不断的学习和积累，一步一步地靠近自己的梦想，达到常人所难以企及的高度吧（股票预测除外2333）这也是在这里我引用这张图片的意义所在。其次，根据题主老师所说的题主偏科的情况，我想结合自己在大学的生活与感受，给出一点建议（此处感谢知友 @bby ）：题主不妨在接下来的时间里，努力学习一些平时不太好的的学科，纠正偏科。通过高考，考上一个好的大学，再来谈证明哥德巴赫猜想的梦想。为什么我会这么说呢？我也是经历了高考的学生，来到大学以后才发现大学和高中的教学模式是完全不一样。高中的时候可能更多的是“填鸭式”教育，是为了学生高考考出好成绩的一种教育方式，学生在高中接触到的知识面和可以利用的资源都是非常有限的。但是大学和高中是有着千差万别的，大学的教学模式远远比高中要开放自由的多，在大学你会发现有很多时间来从事自己热爱的事情，发展自己的兴趣爱好（亲身体会）在大学，题主你会发现接触到的知识面也会更广，可以供你使用的资源那也远远比高中多，在你能够完成自己学业的情况下，只要题主你愿意探究，我相信大学的老师和教授应该是会支持题主你的研究的，说不定你还会碰到一群和你一样拥有梦想的志同道合的人，组成一个小团队，共同研究、探索，一起面对证明道路上的困难,一起享受成功的喜悦。而在高中的话可能周围的同学都忙于高考，无暇进行这些研究，老师也可能不会太支持你，一个人进行这样难度的问题的研究是很困难的，因为高中生的首要任务还是备战高考吧。所以我认为，题主你应该先纠正偏科，考上一个好的大学，这样你追梦的道路才会更加宽广、前途才会更加光明。最后，我看到这个问题的回答下有一部分知友嘲讽、一部分质疑、当然也少不了吃瓜围观的知友。但是，我希望在一月一号到来之前，大家都能够冷静客观的看待题主的言论和提出的问题，一切等到最终尘埃落定以后再给出一个公允不失偏颇的评价吧。
shou-shi-shou-shi-41-41 , 骗流量，蹭热度而已直接两开花好了谣言止于智者，散了吧何必浪费时间呢？
 , 如果题主真的证明出哥德巴赫猜想，那将在数学史上留下色彩浓厚的一笔。（前提是得到专家们的认可)保送清北是不大可能了，直接会被大佬机构预定，会满足你合理的条件…………………………………………………………………………作为某二本院校（拉低知乎平均学历）应用数学专业狗，从理论上来说，这不大可能，但从个人情感来说，我希望这是真的等明年1月1号
xu-jian-wei-15 , 讲真，别说清北了，估计你们省文教领导都得慰问一下，而且2019年科学院院士应该会有你的名字。
monoo-44 , 证明了哥德巴赫猜想，清北还算个锤子？
xiao-fei-pai , 讲道理，哥德巴赫猜想一般不会被高中生证明，我也不会。我只想说一下自己的想法，希望题主脚踏实地其实当年我有些中二，（羞耻）也是希望自己就用现有的知识和想法来完成一道世界性难题，我也希望自己能够一飞冲天，成为什么什么厉害的人物。（其实现在也有些。。。）但是，这是不可能的，现在的科学知识已经不是一个区区高中生能够掌握的了，现在其实每天都会有新的发现，而且这些发现是很难以理解的，一个专注于小领域的博士生都觉得很吃力，何况一个高中生？微积分，概率论这tm都是一百年前的东西一个高中生都不清楚，怎么能解决一个重大的问题呢？其实这是眼界的问题，我在高中的时候，我就知道那些历史书上的内容，什么饶毅什么施一公潘建伟我都不知道，自己只知道的东西就在自己的课桌上，现在到了大学才明白我们的世界不止教科书，论文那么多，我们的世界有很多未知的东西，而且很多厉害的人正在探究他们。（而且这些厉害的人的月工资都比较少。。。）我希望题主能够进入一个好的大学，不断学习，如果你真的有解决的哥德巴赫问题的勇气和毅力，那现在对于你而言就是进入好的大学，扩宽眼界，看看世界，再看看自己，再来看看自己能够做什么？不能够做什么？我希望题主不是只是在知乎上提出一个这样的问题，我希望题主用自己的行为来证明自己。
miji100 , 哥德巴赫被证明了，题主立功了！他继承了民科的光荣的传统。高斯、伽罗华、欧拉、拉格朗日在这一刻灵魂附体！题主代表了民科悠久的历史和传统，在这一刻他不是一个人在战斗，他不是一个人！
wen-zi-93-23 , 能的，问题是你想不想去。北大清华并不牛逼，老师教育水平也不见得说比别的985 211的教授厉害多少，关键还是学生，一群一直都是顶尖的学生最后汇聚的学校，我相信只要学校正常，都成为顶级学校
huang-shi-ji-81 , 不说保送了直接聘为教授，不干活吃白饭那种都行啊，而且还是两个学校争着抢着。
lian-yu-ren-jian-51 , 清华：地方太小，容不下您这尊大佛
wang-yuan-qing-31-43 , 我在复习概率论。。。就给我看到这个问题。。
liu-ming-yu-37-63 , 这样如果题主2019年1月1日如期发表论文并正确证出哥德巴赫猜想了我将从  关注我/在此帖下回复我     的人们中随机抽奖抽出一人 送iPhone Xs Max/华为 mate20 pro（那个人可自己选）再随机抽10人发666元现金红包（毕竟，要是题主正确证明了，我等有幸见证伟人和奇迹诞生，太值得庆贺啦，我一个穷人破破费给大家乐上加乐，荣幸至极。）如果题主没有正确证出哥德巴赫猜想我们取关他取关问题并举报他怎么样我很真诚的！（严肃脸）
wang-bo-15-53-35 ,  睡前阅读随手翻到的
fu-qin-mao , 这就类似“如果我成为了阿里巴巴的董事长，那我的工资能够满足我在五星级酒店开Party吗？”首先，五星级酒店消费的确很高，想包场开Party的话更需要大量资金支持——可这些支出对于一位“阿里巴巴集团的董事长”而言完全是九牛一毛；其次，如果已经成为了“董事长”，那收入来源也不是“工资”了。
shen-hai-yu-wan-18 , 唉，不是想消耗一波国民科研热情，赚自己的流量，就是盲目自信。因为每年都会涌现的大批民科，我对这件事不抱有乐观的看法。但是，知乎人真的这么闲吗？这样笑笑就过的东西…怎么那么多人来关注……希望到时候的网友们的追击能给对方留点情面吧。当然，最好的结局是我们被挂起来打脸。
yang-zong-yuan-39-20 , 知乎上问题越来越离谱了
